UserID	ServiceID	ResponseTime	Throughput	Reliability	UserRegion	UserAS	UserSubnet	UserIP	UserGP	ServiceRegion	ServiceAS	ServiceSubnet	ServiceIP	ServiceGP	WSDLFile
3	3115	1.0101862745098031	299.8497577589115	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	United_States	AS33517	AS33517_204.13.248.0/24	204.13.248.116	40.7904_-74.0246	3115.wsdl
3	3958	0.5743823529411767	11.546700096615956	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Australia	AS9328	AS9328_203.89.199.0/24	203.89.199.52	-37.8139_144.9634	3958.wsdl
3	281	0.28063725490196056	19.418962548829477	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Belgium	AS2611	AS2611_193.190.76.0/24	193.190.76.50	51.05_3.7167	281.wsdl
3	2748	0.13132380952380945	85.1671252993905	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Canada	AS3359	AS3359_129.128.0.0/16	129.128.98.86	53.5248_-113.5334	2748.wsdl
3	2790	1.8281666666666667	7.777736789860748	0.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Canada	AS3359	AS3359_129.128.0.0/16	129.128.98.86	53.5248_-113.5334	2790.wsdl
3	2867	1.986933333333334	7.485064012047788	0.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Canada	AS3359	AS3359_129.128.0.0/16	129.128.98.86	53.5248_-113.5334	2867.wsdl
3	3080	0.12643809523809524	89.325483664481	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Canada	AS3359	AS3359_129.128.0.0/16	129.128.98.86	53.5248_-113.5334	3080.wsdl
3	3087	1.7969117647058825	7.771929816693725	0.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Canada	AS3359	AS3359_129.128.0.0/16	129.128.98.86	53.5248_-113.5334	3087.wsdl
3	3105	0.12706862745098044	86.50868030109191	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Canada	AS3359	AS3359_129.128.0.0/16	129.128.98.86	53.5248_-113.5334	3105.wsdl
3	3672	0.3548272727272726	33.18432702535022	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Canada	AS6327	AS6327_184.70.0.0/16	184.70.74.158	53.6199_-113.6377	3672.wsdl
3	3862	0.5136636363636362	10.067951588197861	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	China	AS4837	AS4837_61.0.0.0/8	61.156.12.2	36.6683_116.9972	3862.wsdl
3	3874	0.8889809523809521	7.51681197204494	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	China	AS4134	AS4134_61.0.0.0/8	61.154.12.151	26.0614_119.3061	3874.wsdl
3	3924	0.6605909090909095	8.459189584076142	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	China	NA	NA_NA	NA	NA	3924.wsdl
3	3989	0.5334021739130436	10.452598452501562	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	China	NA	NA_106.0.0.0/8	106.186.16.91	35.69_139.69	3989.wsdl
3	72	1.3660468749999999	12.487315263282195	0.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	France	NA	NA_178.237.0.0/16	178.237.110.205	48.86_2.35	72.wsdl
3	131	0.618163043478261	18.984785815512048	0.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	France	AS2200	AS2200_147.99.0.0/16	147.99.102.41	43.5278_1.4824	131.wsdl
3	148	0.23742391304347826	30.937401815722072	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	France	NA	NA_NA	NA	NA	148.wsdl
3	192	0.39881249999999985	32.19785890944228	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Germany	AS680	AS680_134.76.0.0/16	134.76.31.209	51.5333_9.9333	192.wsdl
3	195	0.3625348837209302	30.86614572117335	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Germany	AS680	AS680_134.76.0.0/16	134.76.31.209	51.5333_9.9333	195.wsdl
3	284	0.29666304347826106	19.42722042748012	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Germany	AS6724	AS6724_85.0.0.0/8	85.214.115.28	52.5167_13.4	284.wsdl
3	371	0.2478255813953487	21.343194501449133	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Germany	AS8560	AS8560_217.160.24.0/24	217.160.24.237	51.0_9.0	371.wsdl
3	465	0.23357000000000014	21.184167000516997	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Ireland	AS29650	AS29650_82.0.0.0/8	82.195.154.72	53.0_-8.0	465.wsdl
3	475	0.5466111111111107	10.338956748981833	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Islamic_Republic_of_Iran	AS12880	AS12880_217.218.177.0/24	217.218.177.18	32.0_53.0	475.wsdl
3	582	0.4624000000000005	13.538692567346391	0.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Italy	AS30958	AS30958_82.0.0.0/8	82.115.173.114	45.6833_9.7167	582.wsdl
3	695	0.7142000000000002	370.012690169047	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Netherlands	AS44253	AS44253_213.171.136.0/24	213.171.136.81	52.5_5.75	695.wsdl
3	768	0.7955500000000002	10.961150961607366	0.99	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	New_Zealand	AS4771	AS4771_210.54.238.0/24	210.54.238.234	-36.8667_174.7667	768.wsdl
3	801	0.8365800000000005	15.366442620768833	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Norway	AS21293	AS21293_160.68.0.0/16	160.68.205.231	62.0_10.0	801.wsdl
3	840	0.3597666666666669	13.328551565278065	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Poland	AS8508	AS8508_157.158.0.0/16	157.158.3.1	52.0_20.0	840.wsdl
3	841	0.9169555555555555	185.9620037058052	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Poland	AS44249	AS44249_91.0.0.0/8	91.199.48.136	52.0_20.0	841.wsdl
3	891	0.5439666666666667	11.202455791062036	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Republic_of_Korea	AS9848	AS9848_61.0.0.0/8	61.109.248.170	37.57_126.98	891.wsdl
3	894	0.4645795454545455	12.519951127320057	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Republic_of_Korea	AS9848	AS9848_61.0.0.0/8	61.100.5.96	37.57_126.98	894.wsdl
3	998	2.887	1.6851022919772414	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	South_Africa	NA	NA_41.0.0.0/8	41.86.110.143	-29.0_24.0	998.wsdl
3	1012	0.38109803921568614	29.342355379906675	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Spain	AS13041	AS13041_161.116.0.0/16	161.116.1.1	41.3984_2.1741	1012.wsdl
3	1077	0.5101666666666669	15.271408649946093	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Spain	AS16206	AS16206_213.171.253.0/24	213.171.253.150	41.3984_2.1741	1077.wsdl
3	1165	0.36452941176470555	16.179192529366713	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	Switzerland	AS34960	AS34960_194.126.145.0/24	194.126.145.182	47.0_8.0	1165.wsdl
3	1359	0.4657684210526317	13.000374725554188	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	United_Kingdom	AS33970	AS33970_89.0.0.0/8	89.238.134.82	51.5_-0.13	1359.wsdl
3	1396	0.42314736842105244	18.811314149608446	1.0	United_States	AS17	AS17_128.10.0.0/16	128.10.19.52	40.4249_-86.9162	United_Kingdom	AS4589	AS4589_82.0.0.0/8	82.111.18.218	52.2_0.1167	1396.wsdl
